Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
Administration Office / Professional Service,POLICY PROTEC,,451141285-002,Issued,"Sep 28, 2023","Oct 20, 2024",,,,,,,,1,
Manufacturer,ANTIQUORUM DESIGN,,390562776-002,Issued,"May 16, 2024","May 10, 2025",,,,,,,,1,
Administration Office / Professional Service,BOUDOIR BY ASH,,388422456-002,Issued,"Feb 25, 2024","Mar 24, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",GX DRYWALL INC.,,463763473-002,Issued,"Feb 06, 2024","Feb 13, 2025",,,,,,,,1,
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",REMEDY CAFE,"150, 10104 - 103 AVENUE NW",365993497-002,Issued,"Jul 26, 2024","Aug 06, 2025",Downtown,1090,Downtown,O-day'min,53.545043,-113.494634,"(53.545043030783894, -113.49463360084022)",1,POINT (-113.49463360084022 53.545043030783894)
Health Enhancement Centre (Accredited),ACTION CHIROPRACTIC & MASSAGE THERAPY CLINIC,11313 - 100 AVENUE NW,447476358-002,Issued,"Oct 18, 2022","Oct 17, 2024",,1150,Oliver,O-day'min,53.538617,-113.516576,"(53.53861703377225, -113.51657559807781)",1,POINT (-113.51657559807781 53.53861703377225)
"Construction, Contracting, and Labour Service, Manufacturer",FIFTY THREE FIFTY CONTRACTING LTD.,9429 - 47 STREET NW,503273077-001,Issued,"May 03, 2024","May 02, 2026",,6180,Eastgate Business Park,Métis,53.532911,-113.407208,"(53.53291102110623, -113.40720762452149)",1,POINT (-113.40720762452149 53.53291102110623)
"Restaurant or Food Service, Retail Sales (Major), Food Processing / Catering Service",SAVE ON FOODS,6260 - 199 STREET NW,455193486-002,Issued,"Nov 09, 2023","Dec 21, 2024",,4720,Glastonbury,sipiwiyiniwak,53.495048,-113.667150,"(53.495048054248684, -113.66715007901695)",1,POINT (-113.66715007901695 53.495048054248684)
Administration Office / Professional Service,SPARROW COWORK INC.,"201, 12227 - 107 AVENUE NW",388257969-002,Issued,"Mar 08, 2024","Apr 07, 2025",124 Street and Area,3440,Westmount,O-day'min,53.550713,-113.533631,"(53.55071303509071, -113.5336305902003)",1,POINT (-113.5336305902003 53.55071303509071)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Retail Sales (Minor)",ENVIRO-GLIDE RENTALS INC,9731 - GRIERSON HILL NW,391016977-002,Issued,"Jul 22, 2024","Jun 02, 2025",Downtown,1210,Riverdale,O-day'min,53.541029,-113.482565,"(53.54102902958475, -113.48256460489165)",1,POINT (-113.48256460489165 53.54102902958475)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",AMORE PASTA,15216 - 127 STREET NW,356101694-002,Renewal Notice,"Sep 08, 2023","Oct 06, 2024",,3150,Cumberland,Anirniq,53.615990,-113.542820,"(53.615990032360294, -113.54281956618313)",1,POINT (-113.54281956618313 53.615990032360294)
Administration Office / Professional Service,TEAM OT ENTERPRISES LTD.,,451468697-002,Issued,"Sep 19, 2023","Oct 24, 2024",,,,,,,,1,
Restaurant or Food Service,JAM'S PIZZA DONAIR & BURGER,9704 - 182 STREET NW,373997475-002,Issued,"Dec 18, 2023","Dec 29, 2024",,4240,La Perle,Nakota Isga,53.532812,-113.638548,"(53.53281204863191, -113.63854807274323)",1,POINT (-113.63854807274323 53.53281204863191)
Administration Office / Professional Service,NETWORK TRAVEL,,381185857-002,Issued,"Nov 09, 2023","Dec 21, 2024",,,,,,,,1,
"Vehicle Repair, Maintenance, and Modification",NAVSON AUTO,,439100223-002,Issued,"Oct 08, 2023","Oct 30, 2025",,,,,,,,1,
Personal Service,KIM'S COIN LAUNDROMAT,14025 - VICTORIA TRAIL NW,492516218-001,Issued,"Dec 11, 2023","Dec 10, 2024",,2030,Bannerman,Dene,53.603696,-113.384271,"(53.603696014200295, -113.38427110592778)",1,POINT (-113.38427110592778 53.603696014200295)
"Construction, Contracting, and Labour Service",BILLWELDIT,"BSMT, 9656 - JASPER AVENUE NW",504241055-001,Issued,"May 16, 2024","May 15, 2025",Downtown,1020,Boyle Street,O-day'min,53.543009,-113.483690,"(53.543009029601905, -113.4836896039757)",1,POINT (-113.4836896039757 53.543009029601905)
Retail Sales (Minor),ITSUGAR,"1820, 8882 - 170 STREET NW",436340894-002,Renewal Notice,"Aug 31, 2023","Sep 26, 2024",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
Residential Rental Accommodation (Long-Term),1205946 ALBERTA LTD.,13704 - 24 STREET NW,371215882-002,Issued,"Nov 06, 2023","Nov 09, 2024",,2030,Bannerman,Dene,53.600330,-113.380082,"(53.6003300139003, -113.38008160800221)",1,POINT (-113.38008160800221 53.6003300139003)
"Construction, Contracting, and Labour Service",SBR COMMERCIAL SERVICES LTD.,"110, 9190 - 34A AVENUE NW",413880197-002,Issued,"Jun 20, 2023","Aug 03, 2025",,6700,Strathcona Industrial Park,Karhiio,53.467652,-113.470887,"(53.4676520325311, -113.47088713203911)",1,POINT (-113.47088713203911 53.4676520325311)
"Construction, Contracting, and Labour Service",WTR DRYWALL LTD.,,440084214-002,Renewal Notice,"Oct 04, 2023","Oct 06, 2024",,,,,,,,1,
"Personal Service, Health Enhancement Centre (Accredited)",TULIP GARDEN HEALTH CENTRE,16627 - 83 AVENUE NW,473457456-001,Issued,"May 01, 2024","Jun 11, 2025",,4140,Elmwood,sipiwiyiniwak,53.516126,-113.609145,"(53.51612604610868, -113.60914508490603)",1,POINT (-113.60914508490603 53.51612604610868)
Financial Service,H & R BLOCK,9618 - 165 AVENUE NW,325584480-002,Issued,"Jul 22, 2024","Aug 19, 2026",,2241,Eaux Claires,tastawiyiniwak,53.626574,-113.490269,"(53.62657402547754, -113.49026857440214)",1,POINT (-113.49026857440214 53.62657402547754)
Delivery and Logistic Service,JD SIDHU TRANSPORT LTD,"210, 8170 - 50 STREET NW",488537461-001,Issued,"Oct 31, 2023","Oct 30, 2024",,6250,Gainer Industrial,Métis,53.515721,-113.420807,"(53.51572102373865, -113.42080662721898)",1,POINT (-113.42080662721898 53.51572102373865)
Health Enhancement Centre (Accredited),REVIVE REHAB PHYSIOTHERAPY & MASSAGE INC.,"311, 9509 - 156 STREET NW",479465566-001,Issued,"Jul 16, 2024","Aug 02, 2025",,4580,West Jasper Place,Nakota Isga,53.531822,-113.589057,"(53.531822042796904, -113.58905708413448)",1,POINT (-113.58905708413448 53.531822042796904)
Administration Office / Professional Service,TARRAGON TREE CREATIVE SUPPORT,,499877387-001,Issued,"Feb 12, 2024","Feb 11, 2025",,,,,,,,1,
Independent Laboratory,RASATHANTRA NANOTECH INNOVATIONS INC.,2011 - 94 STREET NW,370318767-002,Issued,"Nov 15, 2022","Oct 30, 2024",,6190,Edmonton Research and Development Park,Karhiio,53.450948,-113.471648,"(53.4509480336111, -113.47164763743507)",1,POINT (-113.47164763743507 53.4509480336111)
Administration Office / Professional Service,CONSCIOUS LIVING SOLUTIONS,,358650664-002,Issued,"Mar 04, 2024","Mar 29, 2025",,,,,,,,1,
"Restaurant or Food Service, Retail Sales (Minor), Tobacco and Vaping Product Sales, Vehicle Wash / Fueling Station",PETROPASS,8025 - 50 STREET NW,405360286-002,Issued,"Aug 27, 2024","Sep 14, 2025",,6540,Morris Industrial,Métis,53.516648,-113.417238,"(53.51664802325994, -113.41723812771006)",1,POINT (-113.41723812771006 53.51664802325994)
"Construction, Contracting, and Labour Service",ARK JUSTIN DAVID WELDING LTD.,,481264124-001,Issued,"Nov 24, 2023","Nov 23, 2024",,,,,,,,1,
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited), Spectator Entertainment",BAR IMPERO,12430 - 118 AVENUE NW,477284950-001,Issued,"Aug 31, 2023","Aug 30, 2025",The Crossroads,3350,Prince Charles,Anirniq,53.570639,-113.537357,"(53.57063903436483, -113.53735658267374)",1,POINT (-113.53735658267374 53.57063903436483)
"Wholesale, Warehouse, and Storage",SVPL CANADA LTD.,14216 - 128 AVENUE NW,444698637-002,Issued,"Aug 24, 2023","Oct 04, 2025",,4050,Bonaventure Industrial,Anirniq,53.585336,-113.566971,"(53.58533603703148, -113.56697107109846)",1,POINT (-113.56697107109846 53.58533603703148)
"Retail Sales (Minor), Wholesale, Warehouse, and Storage",SUBLIMATIONS R US,13021 - 156 STREET NW,444101850-002,Issued,"Aug 14, 2023","Sep 25, 2025",,4320,Mistatim Industrial,Anirniq,53.589125,-113.588792,"(53.589125039410405, -113.58879156493843)",1,POINT (-113.58879156493843 53.589125039410405)
"Construction, Contracting, and Labour Service",LEIBEL ENTERPRISES INC.,,343628014-002,Issued,"Nov 01, 2023","Nov 10, 2024",,,,,,,,1,
"Exhibition Hall, Restaurant or Food Service",SPRUCE VALLEY EVENTS,20750 - 57 AVENUE SW,470955129-002,Issued,"Jul 02, 2024","Aug 01, 2025",,8888,Edmonton South West,pihêsiwin,53.382233,-113.680295,"(53.38223306244282, -113.68029461370885)",1,POINT (-113.68029461370885 53.38223306244282)
Personal Service,THE LOUNGE MEDICAL SPA & WELLNESS,"400, 4075 - 106 STREET NW",470335569-002,Issued,"May 03, 2024","May 09, 2025",,5360,Rideau Park,papastew,53.477732,-113.503620,"(53.47773203582189, -113.5036201213461)",1,POINT (-113.5036201213461 53.47773203582189)
Administration Office / Professional Service,CANADIAN INSPIRED CARE INC.,,440015010-002,Issued,"Aug 14, 2024","Aug 17, 2025",,,,,,,,1,
Administration Office / Professional Service,LADYBIRD PHOTOGRAPHY,11436 - 156 STREET NW,391046757-002,Issued,"Mar 10, 2024","Apr 21, 2026",,4010,Alberta Park Industrial,Nakota Isga,53.563916,-113.590961,"(53.563916041143166, -113.59096057293368)",1,POINT (-113.59096057293368 53.563916041143166)
"Construction, Contracting, and Labour Service",OMEX,,497924229-001,Issued,"Jan 26, 2024","Jan 25, 2025",,,,,,,,1,
Administration Office / Professional Service,PROTRAN SERVICES,"201, 9131 - 39 AVENUE NW",325650061-002,Issued,"Jul 18, 2024","Aug 27, 2025",,6700,Strathcona Industrial Park,Karhiio,53.473556,-113.468993,"(53.473556031956626, -113.46899263049463)",1,POINT (-113.46899263049463 53.473556031956626)
"Vehicle Repair, Maintenance, and Modification",EDMONTON CHASSIS,12865 - 141 STREET NW,357209584-002,Issued,"May 21, 2024","Jun 16, 2026",,4050,Bonaventure Industrial,Anirniq,53.587037,-113.564204,"(53.587037036602204, -113.5642035711457)",1,POINT (-113.5642035711457 53.587037036602204)
Personal Service,MILASH_NAILS,,485875720-001,Renewal Notice,"Oct 06, 2023","Oct 05, 2024",,,,,,,,1,
Restaurant or Food Service,FRESHII,2632 - JAMES MOWATT TRAIL SW,328088703-002,Issued,"Oct 30, 2023","Nov 17, 2024",,5464,Heritage Valley Town Centre,Ipiihkoohkanipiaohtsi,53.407046,-113.535012,"(53.40704604373193, -113.53501213786402)",1,POINT (-113.53501213786402 53.40704604373193)
"Construction, Contracting, and Labour Service",TIN IT LTD.,Non Resident Business,501889471-001,Issued,"Mar 08, 2024","Mar 07, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",1861665 ALBERTA LIMITED,,463167893-002,Issued,"Jan 04, 2024","Feb 05, 2025",,,,,,,,1,
Administration Office / Professional Service,CHINOOK MULTIMEDIA INC.,,502680920-001,Issued,"Mar 11, 2024","Mar 10, 2026",,,,,,,,1,
"Retail Sales (Major), Construction, Contracting, and Labour Service, Wholesale, Warehouse, and Storage",PREMIER BUILT GARAGES / GARAGE SUPERSTORE,3407 - CALGARY TRAIL NW,442196252-002,Issued,"Oct 31, 2023","Nov 15, 2024",,5120,Calgary Trail South,papastew,53.468336,-113.494701,"(53.46833603531811, -113.49470112647785)",1,POINT (-113.49470112647785 53.46833603531811)
Administration Office / Professional Service,YWCA EDMONTON,10402 - 124 STREET NW,452015728-002,Issued,"Nov 03, 2022","Nov 02, 2024",124 Street and Area,3440,Westmount,O-day'min,53.546573,-113.536385,"(53.54657303566164, -113.53638459097274)",1,POINT (-113.53638459097274 53.54657303566164)
"Delivery and Logistic Service, Wholesale, Warehouse, and Storage",CITY DISPOSAL CONTAINERS INC.,17520 - 108 AVENUE NW,422442588-002,Issued,"Nov 17, 2023","Nov 16, 2024",,4300,McNamara Industrial,Nakota Isga,53.555015,-113.623221,"(53.55501504550729, -113.62322106871184)",1,POINT (-113.62322106871184 53.55501504550729)
Administration Office / Professional Service,IPHASE CENTRE,15397 - 117 AVENUE NW,371575375-002,Issued,"Apr 16, 2024","May 06, 2026",,4170,Garside Industrial,Anirniq,53.568866,-113.586794,"(53.56886604035703, -113.5867935722019)",1,POINT (-113.5867935722019 53.56886604035703)
Health Enhancement Centre (Accredited),MASSAGE EXPERTS,6629 - 25 AVENUE SW,443840869-002,Issued,"Jul 26, 2024","Aug 23, 2025",,6216,The Orchards At Ellerslie,Karhiio,53.409413,-113.444243,"(53.40941303282804, -113.44424265738304)",1,POINT (-113.44424265738304 53.40941303282804)
Food Truck / Food Cart,AMOR A LA MEXICANA INC.,,466715375-002,Issued,"Mar 21, 2024","Mar 22, 2025",,,,,,,,1,
"Vehicle Repair, Maintenance, and Modification, Wholesale, Warehouse, and Storage",COLDFRONT LTD.,18008 - 118 AVENUE NW,385597901-002,Issued,"Oct 13, 2023","Nov 22, 2025",Northwest Industrial,4130,Edmiston Industrial,Nakota Isga,53.570819,-113.631704,"(53.57081904559472, -113.63170356150239)",1,POINT (-113.63170356150239 53.57081904559472)
Restaurant or Food Service,MILLWOODS MEATS MARINADES & CURRIES,2037 - 163 STREET SW,501425179-001,Issued,"Mar 07, 2024","Mar 06, 2025",,5578,Glenridding Heights,pihêsiwin,53.415641,-113.601338,"(53.4156410510953, -113.60133762019751)",1,POINT (-113.60133762019751 53.4156410510953)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",NAMASTE INDIA,10354 - 82 AVENUE NW,388042899-002,Issued,"Mar 28, 2024","Mar 29, 2026",Old Strathcona,5480,Strathcona,papastew,53.518394,-113.496807,"(53.5183940326122, -113.49680710928097)",1,POINT (-113.49680710928097 53.5183940326122)
Restaurant or Food Service,GOOD MATE PIZZA,3422 - EWING TRAIL SW,448783678-002,Issued,"Oct 19, 2022","Oct 18, 2024",,6214,Ellerslie Industrial,Karhiio,53.402060,-113.490669,"(53.40206003876887, -113.49066914943316)",1,POINT (-113.49066914943316 53.40206003876887)
Administration Office / Professional Service,ALBERTA NEW HOME WARRANTY PROGRAM,8824 - 51 AVENUE NW,437934805-002,Issued,"Jun 13, 2023","Jul 26, 2025",,6430,McIntyre Industrial,Karhiio,53.488622,-113.463044,"(53.48862203035857, -113.46304362679987)",1,POINT (-113.46304362679987 53.48862203035857)
Retail Sales (Minor),TWO-WAY.CA,,402876699-002,Issued,"Jul 02, 2024","Aug 09, 2025",,,,,,,,1,
"Retail Sales (Minor), Tobacco and Vaping Product Sales",SERVICE GROCERY,10673 - 97 STREET NW,491706585-001,Issued,"Dec 08, 2023","Dec 07, 2024",Chinatown and Area,1140,McCauley,O-day'min,53.551811,-113.488968,"(53.55181102971158, -113.4889680998404)",1,POINT (-113.4889680998404 53.55181102971158)
Administration Office / Professional Service,M'AGINE NUTRITION,,326300230-002,Issued,"Jul 03, 2024","Jul 24, 2025",,,,,,,,1,
Administration Office / Professional Service,ATADEL,,487225168-001,Issued,"Oct 12, 2023","Oct 11, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",CLEAN SWEEP SOLUTIONS,,520571381-001,Issued,"Aug 09, 2024","Aug 08, 2025",,,,,,,,1,
Administration Office / Professional Service,ASHWINI SRINIVAS,,386257631-002,Issued,"Feb 09, 2024","Feb 22, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",FIRE TECH FIRE PROTECTION INC.,,435668514-001,Issued,"Jul 16, 2024","Jul 06, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",TRI STAR CONTROLS LTD.,,455866391-002,Issued,"Dec 13, 2022","Dec 12, 2024",,,,,,,,1,
Administration Office / Professional Service,FRONTLINE CANADIAN DEFENCE CORP.,4107 - 99 STREET NW,490384919-001,Issued,"Feb 13, 2024","Feb 12, 2025",,6700,Strathcona Industrial Park,Karhiio,53.476985,-113.485391,"(53.476985033700885, -113.48539062567734)",1,POINT (-113.48539062567734 53.476985033700885)
"Construction, Contracting, and Labour Service",MAID FOR CLEANING SERVICES,,464569185-002,Issued,"Feb 06, 2024","Feb 22, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",FAR & WIDE ELECTRICAL SERVICES LTD.,,458413194-002,Issued,"Nov 24, 2023","Dec 21, 2024",,,,,,,,1,
Administration Office / Professional Service,ADVANTAGE ASSIST GROUP INC.,17321 - 108 AVENUE NW,389396017-002,Issued,"Mar 01, 2024","Apr 11, 2025",,4300,McNamara Industrial,Nakota Isga,53.553935,-113.620418,"(53.55393504523642, -113.6204175697013)",1,POINT (-113.6204175697013 53.55393504523642)
Administration Office / Professional Service,LOVE-A-BALLOON,,467945699-002,Issued,"May 08, 2024","May 08, 2025",,,,,,,,1,
"Administration Office / Professional Service, Retail Sales (Minor)",ALPHA EVENT RENTALS LTD.,,464924687-002,Issued,"May 15, 2024","Apr 18, 2025",,,,,,,,1,
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",AWASH ETHIOPIAN RESTAURANT,12952 - 118 AVENUE NW,498664011-001,Issued,"Mar 01, 2024","Feb 28, 2026",The Crossroads,3410,Sherbrooke,Anirniq,53.570729,-113.547959,"(53.570729035622094, -113.54795858026877)",1,POINT (-113.54795858026877 53.570729035622094)
Administration Office / Professional Service,PATRICIA HEIGHTS DEVELOPMENTS INC.,,382579546-002,Issued,"Jan 04, 2024","Jan 05, 2025",,,,,,,,1,
Retail Sales (Minor),SHINY BOUTIQUE,,474742893-001,Issued,"May 27, 2024","Jun 21, 2025",,,,,,,,1,
Financial Service,JANE MAURO FINANCIAL,,377575270-002,Issued,"Nov 14, 2023","Nov 18, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",CANADIAN NETWORK INSTALLATIONS LTD.,15923 - 114 AVENUE NW,349298921-002,Issued,"Jan 04, 2024","Jan 27, 2026",,4490,Sheffield Industrial,Nakota Isga,53.562404,-113.595942,"(53.56240404182506, -113.59594207232762)",1,POINT (-113.59594207232762 53.56240404182506)
Commercial School,ZHICHUN ZHAI,,341116996-002,Issued,"Dec 04, 2023","Jan 15, 2025",,,,,,,,1,
"Retail Sales (Minor), Wholesale, Warehouse, and Storage, Manufacturer",ZEBRA WHOLESALE BLINDS INC.,9985 - 29A AVENUE NW,487463056-001,Issued,"Jan 16, 2024","Jan 15, 2025",,6570,Parsons Industrial,Karhiio,53.459372,-113.487137,"(53.459372034950476, -113.48713663116015)",1,POINT (-113.48713663116015 53.459372034950476)
Alcohol Sales (Consumption Off-Premises),SUPER VALUE LIQUOR,12832 - 97 STREET NW,380527270-002,Issued,"Apr 25, 2024","May 31, 2026",,3260,Lauderdale,Anirniq,53.586398,-113.492928,"(53.586398028149986, -113.49292808733522)",1,POINT (-113.49292808733522 53.586398028149986)
"Retail Sales (Minor), Food Processing / Catering Service",LITTLE BEAR GELATO,10552 - 114 STREET NW,424429871-002,Issued,"Mar 11, 2024","Apr 11, 2025",North Edge,1180,Queen Mary Park,O-day'min,53.548958,-113.518160,"(53.54895803335264, -113.51815959425483)",1,POINT (-113.51815959425483 53.54895803335264)
Personal Service,GLAMOUR BEAUTY STUDIO,,397780980-002,Issued,"Jul 26, 2024","Aug 25, 2026",,,,,,,,1,
Administration Office / Professional Service,CATALYST COMMUNICATIONS,,484617749-001,Renewal Notice,"Sep 20, 2023","Sep 19, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",KM CREATIVE CO. INC.,,500435659-001,Issued,"Feb 13, 2024","Feb 12, 2025",,,,,,,,1,
Alcohol Sales (Consumption Off-Premises),ACE LIQUOR DISCOUNTER AT BONNIE DOON,8940 - 82 AVENUE NW,387366108-002,Issued,"Nov 20, 2023","Dec 31, 2024",French Quarter,6040,Bonnie Doon,Métis,53.518340,-113.465685,"(53.518340028916064, -113.46568511627473)",1,POINT (-113.46568511627473 53.518340028916064)
"Construction, Contracting, and Labour Service",CANZEN BUILDERS,,345152543-002,Issued,"Dec 02, 2023","Jan 12, 2026",,,,,,,,1,
"Vehicle Repair, Maintenance, and Modification",ELEVATE AUTO,,376701921-002,Issued,"Apr 22, 2024","Feb 11, 2025",,,,,,,,1,
Administration Office / Professional Service,ROGUE FOCUS INC.,"4, 10008 - 29A AVENUE NW",340369160-002,Issued,"Aug 26, 2024","Oct 06, 2025",,6570,Parsons Industrial,Karhiio,53.460668,-113.487668,"(53.46066803493678, -113.48766763060931)",1,POINT (-113.48766763060931 53.46066803493678)
"Construction, Contracting, and Labour Service",ENTECH INDUSTRIES LTD.,,419356229-001,Issued,"Feb 20, 2024","Mar 10, 2025",,,,,,,,1,
Delivery and Logistic Service,TUROM TRANSCANADA LTD.,"4, 10024 - 29A AVENUE NW",439343427-002,Renewal Notice,"Aug 04, 2023","Aug 30, 2024",,6570,Parsons Industrial,Karhiio,53.460668,-113.487668,"(53.46066803493678, -113.48766763060931)",1,POINT (-113.48766763060931 53.46066803493678)
Retail Sales (Minor),NAAZ STYLISH BEDDING LTD.,9941 - 63 AVENUE NW,501549586-001,Issued,"Apr 15, 2024","Apr 14, 2025",,6650,Rosedale Industrial,papastew,53.499098,-113.487609,"(53.49909803265757, -113.48760911779556)",1,POINT (-113.48760911779556 53.49909803265757)
"Construction, Contracting, and Labour Service",SELECT PREFERRED DEVELOPMENTS LTD.,"3400, 10180 - 101 STREET NW",481331837-001,Issued,"Aug 14, 2024","Aug 27, 2025",Downtown,1090,Downtown,O-day'min,53.542640,-113.494598,"(53.54264003092109, -113.49459760165402)",1,POINT (-113.49459760165402 53.54264003092109)
Administration Office / Professional Service,THE HIVE PRODUCT MARKETING INC.,,369699213-002,Issued,"Sep 08, 2023","Oct 20, 2024",,,,,,,,1,
"Administration Office / Professional Service, Retail Sales (Minor), Second Hand Dealer",TESN COMPANY,,491451686-001,Issued,"Mar 12, 2024","Mar 11, 2025",,,,,,,,1,
"Health Enhancement Centre (Accredited / Independent), Health Enhancement Practitioner (Accredited)",MANUAL THERAPY TECHNICIANS OF CANADA,,498433571-001,Issued,"Feb 01, 2024","Jan 31, 2025",,,,,,,,1,
Administration Office / Professional Service,THE ACQUISITION GROUP,"710, 9707 - 110 STREET NW",472514803-001,Issued,"May 14, 2024","Jun 12, 2025",,1150,Oliver,O-day'min,53.534369,-113.509686,"(53.53436903320267, -113.50968610104515)",1,POINT (-113.50968610104515 53.53436903320267)
Residential Rental Accommodation (Long-Term),CAMPBELLTON APARTMENTS,"3, 10923 - 124 STREET NW",460207083-003,Issued,"Jan 20, 2024","Jan 25, 2025",124 Street and Area,3440,Westmount,O-day'min,53.554727,-113.535404,"(53.554727035066016, -113.5354035884559)",1,POINT (-113.5354035884559 53.554727035066016)
Travelling or Temporary Sales,ARBAB SALES,"KIOSK, 1 - LONDONDERRY MALL NW",350455229-002,Issued,"May 03, 2024","May 06, 2025",,2400,Kildare,tastawiyiniwak,53.602265,-113.445719,"(53.602265021597375, -113.44571859259516)",1,POINT (-113.44571859259516 53.602265021597375)
Retail Sales (Minor),APPLE GREEN DESIGNS,,400364756-002,Issued,"Aug 09, 2024","Aug 29, 2025",,,,,,,,1,
Personal Service,ELEEZ BEAUTY,,465739988-002,Issued,"Apr 18, 2024","May 23, 2025",,,,,,,,1,
Administration Office / Professional Service,CONCORD PARKING LTD.,Non Resident Business,489759401-001,Issued,"Dec 12, 2023","Dec 11, 2024",,,,,,,,1,
"Personal Service, Health Enhancement Centre (Accredited / Independent)",MAGMA MASSAGE & SKIN CARE SPA,3476 - 93 STREET NW,479954215-001,Renewal Notice,"Sep 21, 2023","Sep 20, 2024",,6700,Strathcona Industrial Park,Karhiio,53.467697,-113.474307,"(53.46769703293446, -113.47430713125802)",1,POINT (-113.47430713125802 53.46769703293446)
Administration Office / Professional Service,CSG INTERNATIONAL,"1400, 10665 - JASPER AVENUE NW",378575266-002,Issued,"Nov 25, 2023","Jan 05, 2025",Downtown,1090,Downtown,O-day'min,53.540570,-113.504084,"(53.5405700321713, -113.50408360022196)",1,POINT (-113.50408360022196 53.5405700321713)
Vehicle Sales and Rental,JAY AUTO SALES,"106, 14960 - 114 AVENUE NW",469630477-002,Issued,"Apr 03, 2024","May 11, 2025",,4170,Garside Industrial,Anirniq,53.563952,-113.579594,"(53.563952039787004, -113.57959357546471)",1,POINT (-113.57959357546471 53.563952039787004)
Personal Service,ENERGIE HAIR STUDIO,6035 - 199 STREET NW,397687712-002,Issued,"May 09, 2024","Jun 03, 2025",,4461,The Hamptons,sipiwiyiniwak,53.492699,-113.664657,"(53.49269905408956, -113.66465708035926)",1,POINT (-113.66465708035926 53.49269905408956)
Financial Service,PYXIS CUSTOMER SOLUTIONS LTD.,11625 - 105 AVENUE NW,405761082-002,Renewal Notice,"Aug 21, 2023","Sep 28, 2024",North Edge,1180,Queen Mary Park,O-day'min,53.547977,-113.522921,"(53.54797703397686, -113.52292059351733)",1,POINT (-113.52292059351733 53.54797703397686)
Residential Rental Accommodation (Long-Term),MIDTOWN ESTATES,10611 - 116 STREET NW,442012596-002,Issued,"Feb 05, 2024","Feb 05, 2025",North Edge,1180,Queen Mary Park,O-day'min,53.550218,-113.520779,"(53.55021803359026, -113.52077859324528)",1,POINT (-113.52077859324528 53.55021803359026)
Administration Office / Professional Service,INVENIT ENGINEERING INC.,8720 - 51 AVENUE NW,466854156-002,Issued,"Jun 24, 2024","May 03, 2025",,6430,McIntyre Industrial,Karhiio,53.488595,-113.458107,"(53.48859502977392, -113.4581071279154)",1,POINT (-113.4581071279154 53.48859502977392)
"Construction, Contracting, and Labour Service",MAC AND SMITH CONTRACTING,Non Resident Business,515542116-001,Issued,"Jun 17, 2024","Jun 16, 2025",,,,,,,,1,
Second Hand Dealer,GOODWILL INDUSTRIES OF ALBERTA,3824 - 17 STREET NW,350429140-002,Issued,"Apr 17, 2024","May 06, 2025",,6390,Larkspur,Sspomitapi,53.478173,-113.370546,"(53.47817301999982, -113.37054615103928)",1,POINT (-113.37054615103928 53.47817301999982)
"Retail Sales (Minor), Vehicle Wash / Fueling Station",CENTEX WESTEND,17046 - 90 AVENUE NW,387030959-002,Issued,"Feb 10, 2024","Mar 09, 2025",,4520,Summerlea,sipiwiyiniwak,53.525900,-113.617448,"(53.525900046523944, -113.61744757977495)",1,POINT (-113.61744757977495 53.525900046523944)
"Retail Sales (Minor), Tobacco and Vaping Product Sales",FOODS 99 STORE,7121 - 132 AVENUE NW,436191985-002,Issued,"May 27, 2024","Jul 05, 2026",,2020,Balwin,tastawiyiniwak,53.591942,-113.451740,"(53.591942022920925, -113.45173959471532)",1,POINT (-113.45173959471532 53.591942022920925)
"Retail Sales (Major), Second Hand Dealer, Wholesale, Warehouse, and Storage",TREASURE HUNT,"110, 3210 - 118 AVENUE NW",480993365-001,Issued,"May 30, 2024","May 29, 2025",Beverly,2010,Abbottsfield,Métis,53.570720,-113.390472,"(53.57072001688298, -113.39047211561085)",1,POINT (-113.39047211561085 53.57072001688298)
